cod,desc,tipo,tipo_comune,dt_agg,cod_ele,cod_regione,regione,cod_provincia,provincia,cod_comune
080290290195,TRESIGNANA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0195
080290290200,VIGARANO MAINARDA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0200
080290290210,VOGHIERA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0210
080320000000,FORLI'-CESENA,CR,,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0000
080320320000,FORLI'-CESENA,PR,,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0000
080320320010,BAGNO DI ROMAGNA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0010
080320320020,BERTINORO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0020
080320320030,BORGHI,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0030
080320320040,CASTROCARO TERME E TERRA DEL SOLE,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0040
080320320060,CESENA,CM,M,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0060
080320320070,CESENATICO,CM,M,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0070
080320320080,CIVITELLA DI ROMAGNA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0080
080320320100,DOVADOLA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0100
080320320110,FORLI',CM,M,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0110
080320320120,FORLIMPOPOLI,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0120
080320320130,GALEATA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0130
080320320140,GAMBETTOLA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0140
080320320150,GATTEO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0150
080320320170,LONGIANO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0170
080320320180,MELDOLA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0180
080320320190,MERCATO SARACENO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0190
080320320210,MODIGLIANA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0210
080320320270,MONTIANO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0270
080320320300,PORTICO E SAN BENEDETTO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0300
080320320310,PREDAPPIO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0310
080320320320,PREMILCUORE,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0320
080320320350,ROCCA SAN CASCIANO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0350
080320320360,RONCOFREDDO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0360
080320320400,SAN MAURO PASCOLI,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0400
080320320420,SANTA SOFIA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0420
080320320430,SARSINA,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0430
080320320440,SAVIGNANO SUL RUBICONE,CM,M,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0440
080320320450,SOGLIANO AL RUBICONE,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0450
080320320480,TREDOZIO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0480
080320320490,VERGHERETO,CM,N,,7,08,EMILIA-ROMAGNA,032,FORLI'-CESENA,0490
080500000000,MODENA,CR,,,7,08,EMILIA-ROMAGNA,050,MODENA,0000
080500500000,MODENA,PR,,,7,08,EMILIA-ROMAGNA,050,MODENA,0000
080500500010,BASTIGLIA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0010
080500500020,BOMPORTO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0020
080500500030,CAMPOGALLIANO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0030
080500500040,CAMPOSANTO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0040
080500500050,CARPI,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0050
080500500060,CASTELFRANCO EMILIA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0060
080500500070,CASTELNUOVO RANGONE,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0070
080500500080,CASTELVETRO DI MODENA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0080
080500500090,CAVEZZO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0090
080500500100,CONCORDIA SULLA SECCHIA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0100
080500500110,FANANO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0110
080500500120,FINALE EMILIA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0120
080500500130,FIORANO MODENESE,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0130
080500500140,FIUMALBO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0140
080500500150,FORMIGINE,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0150
080500500160,FRASSINORO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0160
080500500170,GUIGLIA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0170
080500500180,LAMA MOCOGNO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0180
080500500190,MARANELLO,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0190
080500500200,MARANO SUL PANARO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0200
080500500210,MEDOLLA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0210
080500500220,MIRANDOLA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0220
080500500230,MODENA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0230
080500500240,MONTECRETO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0240
080500500250,MONTEFIORINO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0250
080500500260,MONTESE,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0260
080500500270,NONANTOLA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0270
080500500280,NOVI DI MODENA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0280
080500500281,PALAGANO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0281
080500500290,PAVULLO NEL FRIGNANO,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0290
080500500300,PIEVEPELAGO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0300
080500500310,POLINAGO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0310
080500500320,PRIGNANO SULLA SECCHIA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0320
080500500330,RAVARINO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0330
080500500340,RIOLUNATO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0340
080500500350,SAN CESARIO SUL PANARO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0350
080500500360,SAN FELICE SUL PANARO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0360
080500500370,SAN POSSIDONIO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0370
080500500380,SAN PROSPERO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0380
080500500390,SASSUOLO,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0390
080500500400,SAVIGNANO SUL PANARO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0400
080500500410,SERRAMAZZONI,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0410
080500500420,SESTOLA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0420
080500500430,SOLIERA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0430
080500500440,SPILAMBERTO,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0440
080500500450,VIGNOLA,CM,M,,7,08,EMILIA-ROMAGNA,050,MODENA,0450
080500500460,ZOCCA,CM,N,,7,08,EMILIA-ROMAGNA,050,MODENA,0460
080560000000,PARMA,CR,,,7,08,EMILIA-ROMAGNA,056,PARMA,0000
080560560000,PARMA,PR,,,7,08,EMILIA-ROMAGNA,056,PARMA,0000
080560560010,ALBARETO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0010
080560560020,BARDI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0020
080560560030,BEDONIA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0030
080560560040,BERCETO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0040
080560560050,BORE,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0050
080560560060,BORGO VAL DI TARO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0060
080560560070,BUSSETO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0070
080560560080,CALESTANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0080
080560560090,COLLECCHIO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0090
080560560100,COLORNO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0100
080560560110,COMPIANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0110
080560560120,CORNIGLIO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0120
080560560130,FELINO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0130
080560560140,FIDENZA,CM,M,,7,08,EMILIA-ROMAGNA,056,PARMA,0140
080560560150,FONTANELLATO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0150
080560560160,FONTEVIVO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0160
080560560170,FORNOVO DI TARO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0170
080560560180,LANGHIRANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0180
080560560190,LESIGNANO DE' BAGNI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0190
080560560200,MEDESANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0200
080560560220,MONCHIO DELLE CORTI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0220
080560560230,MONTECHIARUGOLO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0230
080560560240,NEVIANO DEGLI ARDUINI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0240
080560560250,NOCETO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0250
080560560260,PALANZANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0260
080560560270,PARMA,CM,M,,7,08,EMILIA-ROMAGNA,056,PARMA,0270
080560560280,PELLEGRINO PARMENSE,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0280
080560560291,POLESINE ZIBELLO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0291
080560560300,ROCCABIANCA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0300
080560560310,SALA BAGANZA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0310
080560560320,SALSOMAGGIORE TERME,CM,M,,7,08,EMILIA-ROMAGNA,056,PARMA,0320
080560560330,SAN SECONDO PARMENSE,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0330
080560560345,SISSA TRECASALI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0345
080560560350,SOLIGNANO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0350
080560560360,SORAGNA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0360
080560560375,SORBOLO MEZZANI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0375
080560560380,TERENZO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0380
080560560390,TIZZANO VAL PARMA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0390
080560560400,TORNOLO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0400
080560560410,TORRILE,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0410
080560560420,TRAVERSETOLO,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0420
080560560440,VALMOZZOLA,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0440
080560560450,VARANO DE' MELEGARI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0450
080560560460,VARSI,CM,N,,7,08,EMILIA-ROMAGNA,056,PARMA,0460
080610000000,PIACENZA,CR,,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0000
080610610000,PIACENZA,PR,,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0000
080610610010,AGAZZANO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0010
080610610020,ALSENO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0020
080610610025,ALTA VAL TIDONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0025
080610610030,BESENZONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0030
080610610040,BETTOLA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0040
080610610050,BOBBIO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0050
080610610060,BORGONOVO VAL TIDONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0060
080610610070,CADEO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0070
080610610080,CALENDASCO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0080
080610610100,CAORSO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0100
080610610110,CARPANETO PIACENTINO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0110
080610610120,CASTELL'ARQUATO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0120
080610610130,CASTEL SAN GIOVANNI,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0130
080610610140,CASTELVETRO PIACENTINO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0140
080610610150,CERIGNALE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0150
080610610160,COLI,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0160
080610610170,CORTE BRUGNATELLA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0170
080610610180,CORTEMAGGIORE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0180
080610610190,FARINI,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0190
080610610200,FERRIERE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0200
080610610210,FIORENZUOLA D'ARDA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0210
080610610220,GAZZOLA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0220
080610610230,GOSSOLENGO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0230
080610610240,GRAGNANO TREBBIENSE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0240
080610610250,GROPPARELLO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0250
080610610260,LUGAGNANO VAL D'ARDA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0260
080610610270,MONTICELLI D'ONGINA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0270
080610610280,MORFASSO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0280
080610610300,OTTONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0300
080610610320,PIACENZA,CM,M,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0320
080610610330,PIANELLO VAL TIDONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0330
080610610340,PIOZZANO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0340
080610610350,PODENZANO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0350
080610610360,PONTE DELL'OLIO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0360
080610610370,PONTENURE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0370
080610610380,RIVERGARO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0380
080610610390,ROTTOFRENO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0390
080610610400,SAN GIORGIO PIACENTINO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0400
080610610410,SAN PIETRO IN CERRO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0410
080610610420,SARMATO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0420
080610610430,TRAVO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0430
080610610440,VERNASCA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0440
080610610450,VIGOLZONE,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0450
080610610460,VILLANOVA SULL'ARDA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0460
080610610470,ZERBA,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0470
080610610480,ZIANO PIACENTINO,CM,N,,7,08,EMILIA-ROMAGNA,061,PIACENZA,0480
080660000000,RAVENNA,CR,,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0000
080660660000,RAVENNA,PR,,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0000
080660660010,ALFONSINE,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0010
080660660020,BAGNACAVALLO,CM,M,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0020
080660660030,BAGNARA DI ROMAGNA,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0030
080660660040,BRISIGHELLA,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0040
080660660050,CASOLA VALSENIO,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0050
080660660060,CASTEL BOLOGNESE,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0060
080660660070,CERVIA,CM,M,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0070
080660660080,CONSELICE,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0080
080660660090,COTIGNOLA,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0090
080660660100,FAENZA,CM,M,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0100
080660660110,FUSIGNANO,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0110
080660660120,LUGO,CM,M,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0120
080660660130,MASSA LOMBARDA,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0130
080660660140,RAVENNA,CM,M,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0140
080660660150,RIOLO TERME,CM,N,,7,08,EMILIA-ROMAGNA,066,RAVENNA,0150
